Resuming: 32,768 vectors already embedded with nomic-st-v1.5
  embedded 180,224 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 98.9 min
  embedded 182,272 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 100.4 min
  embedded 184,320 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 101.8 min
  embedded 186,368 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 103.2 min
  embedded 188,416 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 104.6 min
  embedded 190,464 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 105.9 min
  embedded 192,512 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 107.2 min
  embedded 194,560 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 108.6 min
  embedded 196,608 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 109.9 min
  embedded 198,656 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 111.2 min
  embedded 200,704 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 112.5 min
  embedded 202,752 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 113.9 min
  embedded 204,800 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 115.3 min
  embedded 206,848 (+268,288 prior) @ 29 emb/sec | peakVRAM 4,275 MB | 116.9 min
  embedded 208,896 (+268,288 prior) @ 29 emb/sec | peakVRAM 4,275 MB | 118.9 min
  embedded 210,944 (+268,288 prior) @ 29 emb/sec | peakVRAM 4,275 MB | 120.9 min
  embedded 212,992 (+268,288 prior) @ 29 emb/sec | peakVRAM 4,275 MB | 123.0 min
  embedded 215,040 (+268,288 prior) @ 29 emb/sec | peakVRAM 4,275 MB | 124.9 min
  embedded 217,088 (+268,288 prior) @ 29 emb/sec | peakVRAM 4,275 MB | 126.7 min
  embedded 219,136 (+268,288 prior) @ 28 emb/sec | peakVRAM 4,275 MB | 128.4 min
  embedded 221,184 (+268,288 prior) @ 28 emb/sec | peakVRAM 4,275 MB | 130.2 min
  embedded 223,209 (+268,288 prior) @ 28 emb/sec | peakVRAM 4,275 MB | 132.0 min
Done: added 223,209 this run @ 28 emb/sec in 132.1 min. chroma_med/ total now 491,497.
