  embedded  65,536 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 30.8 min
  embedded  67,584 (+407,552 prior) @ 34 emb/sec | peakVRAM 2,422 MB | 32.9 min
  embedded  69,632 (+407,552 prior) @ 33 emb/sec | peakVRAM 2,422 MB | 35.0 min
  embedded  71,680 (+407,552 prior) @ 33 emb/sec | peakVRAM 2,422 MB | 36.3 min
  embedded  73,728 (+407,552 prior) @ 33 emb/sec | peakVRAM 2,422 MB | 37.6 min
  embedded  75,776 (+407,552 prior) @ 32 emb/sec | peakVRAM 2,422 MB | 39.2 min
  embedded  77,824 (+407,552 prior) @ 32 emb/sec | peakVRAM 2,422 MB | 40.6 min
  embedded  79,872 (+407,552 prior) @ 32 emb/sec | peakVRAM 2,422 MB | 41.9 min
  embedded  81,920 (+407,552 prior) @ 32 emb/sec | peakVRAM 2,422 MB | 43.1 min
  embedded  83,945 (+407,552 prior) @ 32 emb/sec | peakVRAM 2,422 MB | 44.4 min
Done: added 83,945 this run @ 31 emb/sec in 44.5 min. chroma_med/ total now 491,497.
